sku,image_url,error
BED-76580-DRUCHALLA-KING-PANEL-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/druchalla-king-panel-bedroom-9696878_1800x1800.png?v=1758477508,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76583-SHARNARI-FULL-PANEL-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/sharnari-full-panel-bedroom-202505_1800x1800.png?v=1750315645,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76600-LAIGMEYER-FULL-UPHOLSTERED-BED,https://www.alrugaibfurniture.com/cdn/shop/files/laigmeyer-full-upholstered-bedroom-872629_1800x1800.png?v=1750315482,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76606-HENNINGTON-KING-SET-WITH-CHEST,https://www.alrugaibfurniture.com/cdn/shop/files/B756-31-36-46-58-56-91_1800x1800.jpg?v=1697093643,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/B756-31-36-46-58-56-91_1800x1800.jpg?v=1697093643: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/B756-31-36-46-58-56-91_1800x1800.jpg?v=1697093643'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76627-NEILSVILLE-QUEEN-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T104517.959_1800x1800.png?v=1692603730,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T104517.959_1800x1800.png?v=1692603730: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T104517.959_1800x1800.png?v=1692603730'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76609-B4808-KINGUPH,https://www.alrugaibfurniture.com/cdn/shop/files/b4808-kinguph-147780_1800x1800.png?v=1750315479,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76667-NEILSVILLE-QUEEN-PANEL-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/EB2320-157-112-144-143-191_1800x1800.jpg?v=1699769817,Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/EB2320-157-112-144-143-191_1800x1800.jpg?v=1699769817: 
BED-76719-FORTMAN-BEDROOM-MIRROR,https://www.alrugaibfurniture.com/cdn/shop/files/B680-36-HEAD-ON-SW_1800x1800.jpg?v=1693724535,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/B680-36-HEAD-ON-SW_1800x1800.jpg?v=1693724535: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/B680-36-HEAD-ON-SW_1800x1800.jpg?v=1693724535'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76768-QUEEN-BED,https://www.alrugaibfurniture.com/cdn/shop/products/B090-782-SW-P1-KO_1800x1800.webp?v=1660024065,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/B090-782-SW-P1-KO_1800x1800.webp?v=1660024065: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/B090-782-SW-P1-KO_1800x1800.webp?v=1660024065'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76705-SOCALLE-QUEEN-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-16T150559.190_1800x1800.png?v=1692187336,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-16T150559.190_1800x1800.png?v=1692187336: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-16T150559.190_1800x1800.png?v=1692187336'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
